"model","method","p","n","rho","B","coverage","avg_width","median_width","lower_zero_rate","mean_p_hat","sd_p_hat","mean_defaults","sd_defaults"
"independent","Wald",0.001,5000,0,10000,0.8719,0.00167676287317714,0.00175216833937232,0.2577,0.0010053,0.000447352123491371,5.0265,2.23676061745686
"independent","Clopper_Pearson",0.001,5000,0,10000,0.979,0.0019695294807799,0.00200733611636777,0.0063,0.0010053,0.000447352123491371,5.0265,2.23676061745686
"independent","Wilson",0.001,5000,0,10000,0.9586,0.00188075364493205,0.00191173955894941,0,0.0010053,0.000447352123491371,5.0265,2.23676061745686
"independent","Agresti_Coull",0.001,5000,0,10000,0.9586,0.00203219156135689,0.00205944377452744,0.0386,0.0010053,0.000447352123491371,5.0265,2.23676061745686
"vasicek","Wald",0.001,5000,0.01,10000,0.7818,0.00161825072062026,0.00175216833937232,0.3359,0.00098814,0.000558002219572382,4.9407,2.79001109786191
"vasicek","Clopper_Pearson",0.001,5000,0.01,10000,0.9414,0.00193123735418186,0.00200733611636777,0.0207,0.00098814,0.000558002219572382,4.9407,2.79001109786191
"vasicek","Wilson",0.001,5000,0.01,10000,0.9139,0.00184733395065774,0.00191173955894941,0,0.00098814,0.000558002219572382,4.9407,2.79001109786191
"vasicek","Agresti_Coull",0.001,5000,0.01,10000,0.9139,0.00199964209472916,0.00205944377452744,0.0835,0.00098814,0.000558002219572382,4.9407,2.79001109786191
"vasicek","Wald",0.001,5000,0.05,10000,0.5649,0.00149363843791959,0.0015673438736691,0.4709,0.00099546,0.000935336770306497,4.9773,4.67668385153249
"vasicek","Clopper_Pearson",0.001,5000,0.05,10000,0.8075,0.00185620139445741,0.00182902483867165,0.0858,0.00099546,0.000935336770306497,4.9773,4.67668385153249
"vasicek","Wilson",0.001,5000,0.05,10000,0.7789,0.0017843853253908,0.00174417966974191,0,0.00099546,0.000935336770306497,4.9773,4.67668385153249
"vasicek","Agresti_Coull",0.001,5000,0.05,10000,0.7789,0.00193616403559149,0.00190504423112638,0.2096,0.00099546,0.000935336770306497,4.9773,4.67668385153249
"vasicek","Wald",0.001,5000,0.1,10000,0.4142,0.00134123279149808,0.00127874772445158,0.5763,0.00099782,0.00142688852006205,4.9891,7.13444260031025
"vasicek","Clopper_Pearson",0.001,5000,0.1,10000,0.6918,0.00175718224348035,0.00162869208292674,0.184,0.00099782,0.00142688852006205,4.9891,7.13444260031025
"vasicek","Wilson",0.001,5000,0.1,10000,0.6705,0.001699311921291,0.00155863139433436,0,0.00099782,0.00142688852006205,4.9891,7.13444260031025
"vasicek","Agresti_Coull",0.001,5000,0.1,10000,0.6705,0.00185028231923186,0.0017369033067742,0.348,0.00099782,0.00142688852006205,4.9891,7.13444260031025
"vasicek","Wald",0.001,5000,0.2,10000,0.2636,0.00109592553385512,0.00059195359566816,0.6993,0.00099484,0.00244798787555492,4.9742,12.2399393777746
"vasicek","Clopper_Pearson",0.001,5000,0.2,10000,0.528,0.00158880181887776,0.00110875583155692,0.3528,0.00099484,0.00244798787555492,4.9742,12.2399393777746
"vasicek","Wilson",0.001,5000,0.2,10000,0.5153,0.00155164969978258,0.00109678329740037,0,0.00099484,0.00244798787555492,4.9742,12.2399393777746
"vasicek","Agresti_Coull",0.001,5000,0.2,10000,0.5153,0.00170261744410056,0.00125290898005159,0.5311,0.00099484,0.00244798787555492,4.9742,12.2399393777746
"vasicek","Wald",0.001,5000,0.25,10000,0.2181,0.000987095332109163,0.00059195359566816,0.7346,0.00095578,0.00263326071588056,4.7789,13.1663035794028
"vasicek","Clopper_Pearson",0.001,5000,0.25,10000,0.4527,0.00151083825874334,0.00110875583155692,0.4345,0.00095578,0.00263326071588056,4.7789,13.1663035794028
"vasicek","Wilson",0.001,5000,0.25,10000,0.4403,0.00148180931674016,0.00109678329740037,0,0.00095578,0.00263326071588056,4.7789,13.1663035794028
"vasicek","Agresti_Coull",0.001,5000,0.25,10000,0.4403,0.00163287388733878,0.00125290898005159,0.5943,0.00095578,0.00263326071588056,4.7789,13.1663035794028
