"p","n","rho","method","coverage_classic","width_classic","coverage_corrected","width_corrected","rho_default","deff","n_eff","coverage_change","width_change","width_ratio"
0.001,10000,0.01,"Agresti_Coull",0.8615,0.0013235804686747,0.8572,0.0013229841024047,0,1,10000,-0.00430000000000008,-5.96366269999199e-07,0.999549429532912
0.001,10000,0.01,"Clopper_Pearson",0.8838,0.00132313792446598,0.8808,0.00132240489716292,0,1,10000,-0.003,-7.33027303062963e-07,0.999445993278925
0.001,10000,0.01,"Wald",0.791,0.00119846844655564,0.7869,0.0011975747983647,0,1,10000,-0.00409999999999999,-8.9364819094869e-07,0.999254341494332
0.001,10000,0.01,"Wilson",0.8615,0.00126444812323193,0.8572,0.00126378681330547,0,1,10000,-0.00430000000000008,-6.61309926455267e-07,0.99947699718612
0.001,10000,0.05,"Agresti_Coull",0.6131,0.00127376159592185,0.9779,0.00567180001015225,0.000801362675058338,9.01282538790832,1109.52998306348,0.3648,0.0043980384142304,4.45279558459874
0.001,10000,0.05,"Clopper_Pearson",0.6299,0.00126183949632603,0.9803,0.00500610815131918,0.000801362675058338,9.01282538790832,1109.52998306348,0.3504,0.00374426865499315,3.9673097615782
0.001,10000,0.05,"Wald",0.5004,0.00111780600757002,0.9192,0.0026838164356827,0.000801362675058338,9.01282538790832,1109.52998306348,0.4188,0.00156601042811268,2.40096798327019
0.001,10000,0.05,"Wilson",0.6131,0.00121002701529044,0.9527,0.0049510652784328,0.000801362675058338,9.01282538790832,1109.52998306348,0.3396,0.00374103826314236,4.09169813224741
0.001,10000,0.1,"Agresti_Coull",0.463,0.00120265094118074,0.9865,0.012087196469131,0.00218560238111546,22.8538382087735,437.563262181538,0.5235,0.0108845455279503,10.050461073322
0.001,10000,0.1,"Clopper_Pearson",0.478,0.00117911793331745,0.9843,0.0102331618718196,0.00218560238111546,22.8538382087735,437.563262181538,0.5063,0.00905404393850218,8.67865849773706
0.001,10000,0.1,"Wald",0.349,0.00100954640350067,0.9096,0.00348950712257493,0.00218560238111546,22.8538382087735,437.563262181538,0.5606,0.00247996071907425,3.4565098845133
0.001,10000,0.1,"Wilson",0.463,0.00113563790268461,0.9576,0.0103553413161557,0.00218560238111546,22.8538382087735,437.563262181538,0.4946,0.00921970341347112,9.11852386370344
0.001,10000,0.2,"Agresti_Coull",0.2959,0.00108885093427612,0.9948,0.0344190444334915,0.00721290285107125,73.1218156078614,136.758092189999,0.6989,0.0333301934992154,31.6104283424007
0.001,10000,0.2,"Clopper_Pearson",0.3032,0.00104872557556397,0.9905,0.0284800388947988,0.00721290285107125,73.1218156078614,136.758092189999,0.6873,0.0274313133192348,27.1568078040656
0.001,10000,0.2,"Wald",0.2159,0.000834350386811059,0.7485,0.00464994576381351,0.00721290285107125,73.1218156078614,136.758092189999,0.5326,0.00381559537700245,5.57313310728589
0.001,10000,0.2,"Wilson",0.2959,0.00101862262554925,0.9702,0.0290107046581462,0.00721290285107125,73.1218156078614,136.758092189999,0.6743,0.0279920820325969,28.4803262076603
0.001,10000,0.25,"Agresti_Coull",0.2415,0.00102430154470597,0.9953,0.0406718500407015,0.00867793921542917,87.7707142150763,113.933218949269,0.7538,0.0396475484959955,39.7069107734054
0.001,10000,0.25,"Clopper_Pearson",0.2485,0.000977119947792266,0.9916,0.0336331754197575,0.00867793921542917,87.7707142150763,113.933218949269,0.7431,0.0326560554719653,34.4207233674324
0.001,10000,0.25,"Wald",0.1774,0.000742580769443405,0.6622,0.00452930105768113,0.00867793921542917,87.7707142150763,113.933218949269,0.4848,0.00378672028823772,6.09940526883833
0.001,10000,0.25,"Wilson",0.2415,0.000953015652553477,0.973,0.034219480197798,0.00867793921542917,87.7707142150763,113.933218949269,0.7315,0.0332664645452445,35.9065248363041
0.005,10000,0.01,"Agresti_Coull",0.6006,0.0027865295616027,0.9827,0.00852891508555849,0.000656357154116132,7.5629151840072,1322.24145804866,0.3821,0.00574238552395579,3.0607660521832
0.005,10000,0.01,"Clopper_Pearson",0.6134,0.00284208681964066,0.9874,0.00842841784329892,0.000656357154116132,7.5629151840072,1322.24145804866,0.374,0.00558633102365826,2.96557367109727
0.005,10000,0.01,"Wald",0.6054,0.00273328281492345,0.9712,0.00747675853282987,0.000656357154116132,7.5629151840072,1322.24145804866,0.3658,0.00474347571790642,2.73545002076167
0.005,10000,0.01,"Wilson",0.6006,0.00275979504783286,0.9782,0.00802446818959972,0.000656357154116132,7.5629151840072,1322.24145804866,0.3776,0.00526467314176686,2.90763192574788
0.005,10000,0.05,"Agresti_Coull",0.3079,0.00267097042823852,0.9631,0.0171820509490521,0.00217616669944694,22.7594908277699,439.37714053772,0.6552,0.0145110805208136,6.43288700144221
0.005,10000,0.05,"Clopper_Pearson",0.315,0.00271981354530836,0.9703,0.0158298004193266,0.00217616669944694,22.7594908277699,439.37714053772,0.6553,0.0131099868740182,5.82017853636796
0.005,10000,0.05,"Wald",0.3067,0.00260928602044252,0.907,0.0109904541918213,0.00217616669944694,22.7594908277699,439.37714053772,0.6003,0.00838116817137876,4.21205421932141
0.005,10000,0.05,"Wilson",0.3079,0.00264032633505357,0.9476,0.0152904960986117,0.00217616669944694,22.7594908277699,439.37714053772,0.6397,0.0126501697635581,5.7911387299409
