"method","p","n","rho","coverage_vasicek","coverage_ind","coverage_drop"
"Agresti_Coull",0.001,5000,0.01,0.9139,0.9586,0.0447
"Clopper_Pearson",0.001,5000,0.01,0.9414,0.979,0.0376
"Wald",0.001,5000,0.01,0.7818,0.8719,0.0901
"Wilson",0.001,5000,0.01,0.9139,0.9586,0.0447
"Agresti_Coull",0.001,5000,0.05,0.7789,0.9586,0.1797
"Clopper_Pearson",0.001,5000,0.05,0.8075,0.979,0.1715
"Wald",0.001,5000,0.05,0.5649,0.8719,0.307
"Wilson",0.001,5000,0.05,0.7789,0.9586,0.1797
"Agresti_Coull",0.001,5000,0.1,0.6705,0.9586,0.2881
"Clopper_Pearson",0.001,5000,0.1,0.6918,0.979,0.2872
"Wald",0.001,5000,0.1,0.4142,0.8719,0.4577
"Wilson",0.001,5000,0.1,0.6705,0.9586,0.2881
"Agresti_Coull",0.001,5000,0.2,0.5153,0.9586,0.4433
"Clopper_Pearson",0.001,5000,0.2,0.528,0.979,0.451
"Wald",0.001,5000,0.2,0.2636,0.8719,0.6083
"Wilson",0.001,5000,0.2,0.5153,0.9586,0.4433
"Agresti_Coull",0.001,5000,0.25,0.4403,0.9586,0.5183
"Clopper_Pearson",0.001,5000,0.25,0.4527,0.979,0.5263
"Wald",0.001,5000,0.25,0.2181,0.8719,0.6538
"Wilson",0.001,5000,0.25,0.4403,0.9586,0.5183
"Agresti_Coull",0.001,10000,0.01,0.8615,0.9612,0.0997
"Clopper_Pearson",0.001,10000,0.01,0.8838,0.9745,0.0907
"Wald",0.001,10000,0.01,0.791,0.9236,0.1326
"Wilson",0.001,10000,0.01,0.8615,0.9612,0.0997
"Agresti_Coull",0.001,10000,0.05,0.6131,0.9612,0.3481
"Clopper_Pearson",0.001,10000,0.05,0.6299,0.9745,0.3446
"Wald",0.001,10000,0.05,0.5004,0.9236,0.4232
"Wilson",0.001,10000,0.05,0.6131,0.9612,0.3481
"Agresti_Coull",0.001,10000,0.1,0.463,0.9612,0.4982
"Clopper_Pearson",0.001,10000,0.1,0.478,0.9745,0.4965
"Wald",0.001,10000,0.1,0.349,0.9236,0.5746
"Wilson",0.001,10000,0.1,0.463,0.9612,0.4982
"Agresti_Coull",0.001,10000,0.2,0.2959,0.9612,0.6653
"Clopper_Pearson",0.001,10000,0.2,0.3032,0.9745,0.6713
"Wald",0.001,10000,0.2,0.2159,0.9236,0.7077
"Wilson",0.001,10000,0.2,0.2959,0.9612,0.6653
"Agresti_Coull",0.001,10000,0.25,0.2415,0.9612,0.7197
"Clopper_Pearson",0.001,10000,0.25,0.2485,0.9745,0.726
"Wald",0.001,10000,0.25,0.1774,0.9236,0.7462
"Wilson",0.001,10000,0.25,0.2415,0.9612,0.7197
"Agresti_Coull",0.001,25000,0.01,0.6837,0.941,0.2573
"Clopper_Pearson",0.001,25000,0.01,0.7037,0.9531,0.2494
"Wald",0.001,25000,0.01,0.6879,0.9432,0.2553
"Wilson",0.001,25000,0.01,0.6837,0.941,0.2573
"Agresti_Coull",0.001,25000,0.05,0.3735,0.941,0.5675
"Clopper_Pearson",0.001,25000,0.05,0.3838,0.9531,0.5693
"Wald",0.001,25000,0.05,0.3653,0.9432,0.5779
"Wilson",0.001,25000,0.05,0.3735,0.941,0.5675
"Agresti_Coull",0.001,25000,0.1,0.2454,0.941,0.6956
"Clopper_Pearson",0.001,25000,0.1,0.2537,0.9531,0.6994
"Wald",0.001,25000,0.1,0.2394,0.9432,0.7038
"Wilson",0.001,25000,0.1,0.2454,0.941,0.6956
"Agresti_Coull",0.001,25000,0.2,0.1479,0.941,0.7931
"Clopper_Pearson",0.001,25000,0.2,0.152,0.9531,0.8011
"Wald",0.001,25000,0.2,0.143,0.9432,0.8002
"Wilson",0.001,25000,0.2,0.1479,0.941,0.7931
"Agresti_Coull",0.001,25000,0.25,0.1203,0.941,0.8207
"Clopper_Pearson",0.001,25000,0.25,0.1243,0.9531,0.8288
"Wald",0.001,25000,0.25,0.1169,0.9432,0.8263
"Wilson",0.001,25000,0.25,0.1203,0.941,0.8207
"Agresti_Coull",0.001,50000,0.01,0.5435,0.9437,0.4002
"Clopper_Pearson",0.001,50000,0.01,0.5564,0.9512,0.3948
"Wald",0.001,50000,0.01,0.5446,0.9459,0.4013
"Wilson",0.001,50000,0.01,0.5435,0.9437,0.4002
"Agresti_Coull",0.001,50000,0.05,0.2606,0.9437,0.6831
"Clopper_Pearson",0.001,50000,0.05,0.2653,0.9512,0.6859
"Wald",0.001,50000,0.05,0.2587,0.9459,0.6872
"Wilson",0.001,50000,0.05,0.2606,0.9437,0.6831
"Agresti_Coull",0.001,50000,0.1,0.1732,0.9437,0.7705
"Clopper_Pearson",0.001,50000,0.1,0.177,0.9512,0.7742
"Wald",0.001,50000,0.1,0.1721,0.9459,0.7738
"Wilson",0.001,50000,0.1,0.1732,0.9437,0.7705
"Agresti_Coull",0.001,50000,0.2,0.1001,0.9437,0.8436
"Clopper_Pearson",0.001,50000,0.2,0.1028,0.9512,0.8484
"Wald",0.001,50000,0.2,0.0987,0.9459,0.8472
