"p","rho","method","coverage_classic","coverage_corrected"
0.001,0.01,"Agresti-Coull",0.4214,0.4218
0.001,0.01,"Clopper-Pearson",0.429,0.4287
0.001,0.01,"Wald",0.4121,0.4126
0.001,0.01,"Wilson",0.4214,0.4218
0.001,0.1,"Agresti-Coull",0.1281,0.9871
0.001,0.1,"Clopper-Pearson",0.1308,0.9853
0.001,0.1,"Wald",0.126,0.9017
0.001,0.1,"Wilson",0.1281,0.9656
0.001,0.25,"Agresti-Coull",0.0571,0.9955
0.001,0.25,"Clopper-Pearson",0.0587,0.9912
0.001,0.25,"Wald",0.0555,0.7927
0.001,0.25,"Wilson",0.0571,0.9738
0.01,0.01,"Agresti-Coull",0.181,0.9916
0.01,0.01,"Clopper-Pearson",0.1824,0.9959
0.01,0.01,"Wald",0.1801,0.9937
0.01,0.01,"Wilson",0.181,0.9897
0.01,0.1,"Agresti-Coull",0.0479,0.9698
0.01,0.1,"Clopper-Pearson",0.0482,0.9752
0.01,0.1,"Wald",0.0482,0.893
0.01,0.1,"Wilson",0.0479,0.9499
0.01,0.25,"Agresti-Coull",0.0242,0.9818
0.01,0.25,"Clopper-Pearson",0.0244,0.9828
0.01,0.25,"Wald",0.0244,0.8062
0.01,0.25,"Wilson",0.0242,0.9587
0.05,0.01,"Agresti-Coull",0.1016,0.958
0.05,0.01,"Clopper-Pearson",0.1019,0.9655
0.05,0.01,"Wald",0.1006,0.9455
0.05,0.01,"Wilson",0.1016,0.9541
0.05,0.1,"Agresti-Coull",0.0259,0.9632
0.05,0.1,"Clopper-Pearson",0.0259,0.9757
0.05,0.1,"Wald",0.0254,0.9117
0.05,0.1,"Wilson",0.0259,0.9518
0.05,0.25,"Agresti-Coull",0.0185,0.9613
0.05,0.25,"Clopper-Pearson",0.0185,0.9787
0.05,0.25,"Wald",0.0184,0.8358
0.05,0.25,"Wilson",0.0185,0.9484
