"p","n","rho","method","coverage_ind","coverage_vasicek","coverage_drop"
0.001,5000,0.01,"Agresti_Coull",0.9586,0.9139,0.0447
0.001,5000,0.01,"Clopper_Pearson",0.979,0.9414,0.0376
0.001,5000,0.01,"Wald",0.8719,0.7818,0.0901
0.001,5000,0.01,"Wilson",0.9586,0.9139,0.0447
0.001,5000,0.05,"Agresti_Coull",0.9586,0.7789,0.1797
0.001,5000,0.05,"Clopper_Pearson",0.979,0.8075,0.1715
0.001,5000,0.05,"Wald",0.8719,0.5649,0.307
0.001,5000,0.05,"Wilson",0.9586,0.7789,0.1797
0.001,5000,0.1,"Agresti_Coull",0.9586,0.6705,0.2881
0.001,5000,0.1,"Clopper_Pearson",0.979,0.6918,0.2872
0.001,5000,0.1,"Wald",0.8719,0.4142,0.4577
0.001,5000,0.1,"Wilson",0.9586,0.6705,0.2881
0.001,5000,0.2,"Agresti_Coull",0.9586,0.5153,0.4433
0.001,5000,0.2,"Clopper_Pearson",0.979,0.528,0.451
0.001,5000,0.2,"Wald",0.8719,0.2636,0.6083
0.001,5000,0.2,"Wilson",0.9586,0.5153,0.4433
0.001,5000,0.25,"Agresti_Coull",0.9586,0.4403,0.5183
0.001,5000,0.25,"Clopper_Pearson",0.979,0.4527,0.5263
0.001,5000,0.25,"Wald",0.8719,0.2181,0.6538
0.001,5000,0.25,"Wilson",0.9586,0.4403,0.5183
0.001,10000,0.01,"Agresti_Coull",0.9612,0.8615,0.0997
0.001,10000,0.01,"Clopper_Pearson",0.9745,0.8838,0.0907
0.001,10000,0.01,"Wald",0.9236,0.791,0.1326
0.001,10000,0.01,"Wilson",0.9612,0.8615,0.0997
0.001,10000,0.05,"Agresti_Coull",0.9612,0.6131,0.3481
0.001,10000,0.05,"Clopper_Pearson",0.9745,0.6299,0.3446
0.001,10000,0.05,"Wald",0.9236,0.5004,0.4232
0.001,10000,0.05,"Wilson",0.9612,0.6131,0.3481
0.001,10000,0.1,"Agresti_Coull",0.9612,0.463,0.4982
0.001,10000,0.1,"Clopper_Pearson",0.9745,0.478,0.4965
0.001,10000,0.1,"Wald",0.9236,0.349,0.5746
0.001,10000,0.1,"Wilson",0.9612,0.463,0.4982
0.001,10000,0.2,"Agresti_Coull",0.9612,0.2959,0.6653
0.001,10000,0.2,"Clopper_Pearson",0.9745,0.3032,0.6713
0.001,10000,0.2,"Wald",0.9236,0.2159,0.7077
0.001,10000,0.2,"Wilson",0.9612,0.2959,0.6653
0.001,10000,0.25,"Agresti_Coull",0.9612,0.2415,0.7197
0.001,10000,0.25,"Clopper_Pearson",0.9745,0.2485,0.726
0.001,10000,0.25,"Wald",0.9236,0.1774,0.7462
0.001,10000,0.25,"Wilson",0.9612,0.2415,0.7197
0.001,25000,0.01,"Agresti_Coull",0.941,0.6837,0.2573
0.001,25000,0.01,"Clopper_Pearson",0.9531,0.7037,0.2494
0.001,25000,0.01,"Wald",0.9432,0.6879,0.2553
0.001,25000,0.01,"Wilson",0.941,0.6837,0.2573
0.001,25000,0.05,"Agresti_Coull",0.941,0.3735,0.5675
0.001,25000,0.05,"Clopper_Pearson",0.9531,0.3838,0.5693
0.001,25000,0.05,"Wald",0.9432,0.3653,0.5779
0.001,25000,0.05,"Wilson",0.941,0.3735,0.5675
0.001,25000,0.1,"Agresti_Coull",0.941,0.2454,0.6956
0.001,25000,0.1,"Clopper_Pearson",0.9531,0.2537,0.6994
0.001,25000,0.1,"Wald",0.9432,0.2394,0.7038
0.001,25000,0.1,"Wilson",0.941,0.2454,0.6956
0.001,25000,0.2,"Agresti_Coull",0.941,0.1479,0.7931
0.001,25000,0.2,"Clopper_Pearson",0.9531,0.152,0.8011
0.001,25000,0.2,"Wald",0.9432,0.143,0.8002
0.001,25000,0.2,"Wilson",0.941,0.1479,0.7931
0.001,25000,0.25,"Agresti_Coull",0.941,0.1203,0.8207
0.001,25000,0.25,"Clopper_Pearson",0.9531,0.1243,0.8288
0.001,25000,0.25,"Wald",0.9432,0.1169,0.8263
