"p","n","Wald","Clopper_Pearson","Wilson","Agresti_Coull"
0.001,5000,0.8719,0.979,0.9586,0.9586
0.001,10000,0.9236,0.9745,0.9612,0.9612
0.001,25000,0.9432,0.9531,0.941,0.941
0.001,50000,0.9459,0.9512,0.9437,0.9437
0.001,1e+05,0.9456,0.9556,0.9494,0.9494
0.005,5000,0.9451,0.9533,0.942,0.942
0.005,10000,0.9493,0.9537,0.9454,0.9454
0.005,25000,0.9523,0.9536,0.9485,0.9485
0.005,50000,0.9443,0.9458,0.942,0.942
0.005,1e+05,0.9473,0.9501,0.9471,0.9471
0.01,5000,0.9465,0.9526,0.9456,0.9456
0.01,10000,0.9516,0.9598,0.9546,0.9546
0.01,25000,0.9485,0.949,0.946,0.946
0.01,50000,0.9488,0.9504,0.948,0.948
0.01,1e+05,0.9511,0.9521,0.9504,0.9504
0.02,5000,0.9492,0.9567,0.9509,0.9509
0.02,10000,0.9476,0.9549,0.9509,0.9509
0.02,25000,0.9498,0.9529,0.9501,0.9501
0.02,50000,0.9496,0.953,0.9513,0.9513
0.02,1e+05,0.9473,0.9491,0.9472,0.9472
0.05,5000,0.9464,0.9541,0.9503,0.9503
0.05,10000,0.9478,0.9492,0.9466,0.9466
0.05,25000,0.947,0.9494,0.9468,0.9468
0.05,50000,0.952,0.9544,0.9533,0.9533
0.05,1e+05,0.9507,0.9522,0.9518,0.9518
