"model","method","p","n","rho","coverage"
"independent","Agresti_Coull",0.001,5000,0,0.9586
"independent","Clopper_Pearson",0.001,5000,0,0.979
"independent","Wald",0.001,5000,0,0.8719
"independent","Wilson",0.001,5000,0,0.9586
"independent","Agresti_Coull",0.001,10000,0,0.9612
"independent","Clopper_Pearson",0.001,10000,0,0.9745
"independent","Wald",0.001,10000,0,0.9236
"independent","Wilson",0.001,10000,0,0.9612
"independent","Agresti_Coull",0.001,25000,0,0.941
"independent","Clopper_Pearson",0.001,25000,0,0.9531
"independent","Wald",0.001,25000,0,0.9432
"independent","Wilson",0.001,25000,0,0.941
"independent","Agresti_Coull",0.001,50000,0,0.9437
"independent","Clopper_Pearson",0.001,50000,0,0.9512
"independent","Wald",0.001,50000,0,0.9459
"independent","Wilson",0.001,50000,0,0.9437
"independent","Agresti_Coull",0.001,1e+05,0,0.9494
"independent","Clopper_Pearson",0.001,1e+05,0,0.9556
"independent","Wald",0.001,1e+05,0,0.9456
"independent","Wilson",0.001,1e+05,0,0.9494
"independent","Agresti_Coull",0.005,5000,0,0.942
"independent","Clopper_Pearson",0.005,5000,0,0.9533
"independent","Wald",0.005,5000,0,0.9451
"independent","Wilson",0.005,5000,0,0.942
"independent","Agresti_Coull",0.005,10000,0,0.9454
"independent","Clopper_Pearson",0.005,10000,0,0.9537
"independent","Wald",0.005,10000,0,0.9493
"independent","Wilson",0.005,10000,0,0.9454
"independent","Agresti_Coull",0.005,25000,0,0.9485
"independent","Clopper_Pearson",0.005,25000,0,0.9536
"independent","Wald",0.005,25000,0,0.9523
"independent","Wilson",0.005,25000,0,0.9485
"independent","Agresti_Coull",0.005,50000,0,0.942
"independent","Clopper_Pearson",0.005,50000,0,0.9458
"independent","Wald",0.005,50000,0,0.9443
"independent","Wilson",0.005,50000,0,0.942
"independent","Agresti_Coull",0.005,1e+05,0,0.9471
"independent","Clopper_Pearson",0.005,1e+05,0,0.9501
"independent","Wald",0.005,1e+05,0,0.9473
"independent","Wilson",0.005,1e+05,0,0.9471
"independent","Agresti_Coull",0.01,5000,0,0.9456
"independent","Clopper_Pearson",0.01,5000,0,0.9526
"independent","Wald",0.01,5000,0,0.9465
"independent","Wilson",0.01,5000,0,0.9456
"independent","Agresti_Coull",0.01,10000,0,0.9546
"independent","Clopper_Pearson",0.01,10000,0,0.9598
"independent","Wald",0.01,10000,0,0.9516
"independent","Wilson",0.01,10000,0,0.9546
"independent","Agresti_Coull",0.01,25000,0,0.946
"independent","Clopper_Pearson",0.01,25000,0,0.949
"independent","Wald",0.01,25000,0,0.9485
"independent","Wilson",0.01,25000,0,0.946
"independent","Agresti_Coull",0.01,50000,0,0.948
"independent","Clopper_Pearson",0.01,50000,0,0.9504
"independent","Wald",0.01,50000,0,0.9488
"independent","Wilson",0.01,50000,0,0.948
"independent","Agresti_Coull",0.01,1e+05,0,0.9504
"independent","Clopper_Pearson",0.01,1e+05,0,0.9521
"independent","Wald",0.01,1e+05,0,0.9511
"independent","Wilson",0.01,1e+05,0,0.9504
"independent","Agresti_Coull",0.02,5000,0,0.9509
"independent","Clopper_Pearson",0.02,5000,0,0.9567
"independent","Wald",0.02,5000,0,0.9492
"independent","Wilson",0.02,5000,0,0.9509
"independent","Agresti_Coull",0.02,10000,0,0.9509
"independent","Clopper_Pearson",0.02,10000,0,0.9549
"independent","Wald",0.02,10000,0,0.9476
"independent","Wilson",0.02,10000,0,0.9509
"independent","Agresti_Coull",0.02,25000,0,0.9501
"independent","Clopper_Pearson",0.02,25000,0,0.9529
"independent","Wald",0.02,25000,0,0.9498
"independent","Wilson",0.02,25000,0,0.9501
"independent","Agresti_Coull",0.02,50000,0,0.9513
"independent","Clopper_Pearson",0.02,50000,0,0.953
"independent","Wald",0.02,50000,0,0.9496
"independent","Wilson",0.02,50000,0,0.9513
"independent","Agresti_Coull",0.02,1e+05,0,0.9472
"independent","Clopper_Pearson",0.02,1e+05,0,0.9491
"independent","Wald",0.02,1e+05,0,0.9473
"independent","Wilson",0.02,1e+05,0,0.9472
"independent","Agresti_Coull",0.05,5000,0,0.9503
"independent","Clopper_Pearson",0.05,5000,0,0.9541
"independent","Wald",0.05,5000,0,0.9464
"independent","Wilson",0.05,5000,0,0.9503
"independent","Agresti_Coull",0.05,10000,0,0.9466
"independent","Clopper_Pearson",0.05,10000,0,0.9492
"independent","Wald",0.05,10000,0,0.9478
"independent","Wilson",0.05,10000,0,0.9466
"independent","Agresti_Coull",0.05,25000,0,0.9468
"independent","Clopper_Pearson",0.05,25000,0,0.9494
"independent","Wald",0.05,25000,0,0.947
"independent","Wilson",0.05,25000,0,0.9468
"independent","Agresti_Coull",0.05,50000,0,0.9533
"independent","Clopper_Pearson",0.05,50000,0,0.9544
"independent","Wald",0.05,50000,0,0.952
"independent","Wilson",0.05,50000,0,0.9533
"independent","Agresti_Coull",0.05,1e+05,0,0.9518
"independent","Clopper_Pearson",0.05,1e+05,0,0.9522
"independent","Wald",0.05,1e+05,0,0.9507
"independent","Wilson",0.05,1e+05,0,0.9518
"vasicek","Agresti_Coull",0.001,5000,0.01,0.9139
"vasicek","Clopper_Pearson",0.001,5000,0.01,0.9414
