"p","n","rho","Wald","Clopper_Pearson","Wilson","Agresti_Coull"
0.001,5000,0.01,0.7818,0.9414,0.9139,0.9139
0.001,5000,0.05,0.5649,0.8075,0.7789,0.7789
0.001,5000,0.1,0.4142,0.6918,0.6705,0.6705
0.001,5000,0.2,0.2636,0.528,0.5153,0.5153
0.001,5000,0.25,0.2181,0.4527,0.4403,0.4403
0.001,10000,0.01,0.791,0.8838,0.8615,0.8615
0.001,10000,0.05,0.5004,0.6299,0.6131,0.6131
0.001,10000,0.1,0.349,0.478,0.463,0.463
0.001,10000,0.2,0.2159,0.3032,0.2959,0.2959
0.001,10000,0.25,0.1774,0.2485,0.2415,0.2415
0.001,25000,0.01,0.6879,0.7037,0.6837,0.6837
0.001,25000,0.05,0.3653,0.3838,0.3735,0.3735
0.001,25000,0.1,0.2394,0.2537,0.2454,0.2454
0.001,25000,0.2,0.143,0.152,0.1479,0.1479
0.001,25000,0.25,0.1169,0.1243,0.1203,0.1203
0.001,50000,0.01,0.5446,0.5564,0.5435,0.5435
0.001,50000,0.05,0.2587,0.2653,0.2606,0.2606
0.001,50000,0.1,0.1721,0.177,0.1732,0.1732
0.001,50000,0.2,0.0987,0.1028,0.1001,0.1001
0.001,50000,0.25,0.0784,0.082,0.0806,0.0806
0.001,1e+05,0.01,0.4121,0.429,0.4214,0.4214
0.001,1e+05,0.05,0.1862,0.1953,0.1911,0.1911
0.001,1e+05,0.1,0.126,0.1308,0.1281,0.1281
0.001,1e+05,0.2,0.0721,0.0745,0.0727,0.0727
0.001,1e+05,0.25,0.0555,0.0587,0.0571,0.0571
0.005,5000,0.01,0.7421,0.7567,0.7375,0.7375
0.005,5000,0.05,0.4215,0.4425,0.4298,0.4298
0.005,5000,0.1,0.2906,0.3069,0.2978,0.2978
0.005,5000,0.2,0.1847,0.195,0.1898,0.1898
0.005,5000,0.25,0.1478,0.157,0.153,0.153
0.005,10000,0.01,0.6054,0.6134,0.6006,0.6006
0.005,10000,0.05,0.3067,0.315,0.3079,0.3079
0.005,10000,0.1,0.2128,0.2199,0.214,0.214
0.005,10000,0.2,0.1265,0.1309,0.1284,0.1284
0.005,10000,0.25,0.1072,0.1113,0.1081,0.1081
0.005,25000,0.01,0.435,0.4388,0.4323,0.4323
0.005,25000,0.05,0.2003,0.203,0.1995,0.1995
0.005,25000,0.1,0.1367,0.1384,0.1368,0.1368
0.005,25000,0.2,0.0866,0.0864,0.0854,0.0854
0.005,25000,0.25,0.0623,0.0633,0.0625,0.0625
0.005,50000,0.01,0.3247,0.3255,0.3203,0.3203
0.005,50000,0.05,0.1419,0.1427,0.1408,0.1408
0.005,50000,0.1,0.0976,0.0978,0.0968,0.0968
0.005,50000,0.2,0.0569,0.057,0.056,0.056
0.005,50000,0.25,0.0466,0.0465,0.0461,0.0461
0.005,1e+05,0.01,0.231,0.235,0.2332,0.2332
