"p","n","rho","Wald","Clopper_Pearson","Wilson","Agresti_Coull"
0.001,10000,0.01,0.791,0.8838,0.8615,0.8615
0.001,10000,0.05,0.5004,0.6299,0.6131,0.6131
0.001,10000,0.1,0.349,0.478,0.463,0.463
0.001,10000,0.2,0.2159,0.3032,0.2959,0.2959
0.001,10000,0.25,0.1774,0.2485,0.2415,0.2415
0.01,10000,0.01,0.4923,0.5093,0.4981,0.4981
0.01,10000,0.05,0.2322,0.2423,0.2383,0.2383
0.01,10000,0.1,0.1585,0.1654,0.1612,0.1612
0.01,10000,0.2,0.1043,0.1093,0.1074,0.1074
0.01,10000,0.25,0.0855,0.0905,0.0883,0.0883
0.05,10000,0.01,0.3101,0.3115,0.3087,0.3087
0.05,10000,0.05,0.1377,0.1383,0.1368,0.1368
0.05,10000,0.1,0.0967,0.0976,0.0968,0.0968
0.05,10000,0.2,0.0627,0.0623,0.0617,0.0617
0.05,10000,0.25,0.0482,0.0487,0.0482,0.0482
