"model","p","n","rho","Wald","Clopper_Pearson","Wilson","Agresti_Coull"
"independent",0.001,500,0,0.3985,0.9846,0.9078,0.9846
"independent",0.001,1000,0,0.6289,0.984,0.9219,0.984
"independent",0.001,2000,0,0.8598,0.9833,0.9486,0.9833
"independent",0.001,5000,0,0.8675,0.9814,0.9621,0.9621
"independent",0.001,10000,0,0.9256,0.9764,0.9637,0.9637
"independent",0.005,500,0,0.9136,0.9853,0.958,0.9853
"independent",0.005,1000,0,0.8727,0.98,0.9644,0.9644
"independent",0.005,2000,0,0.926,0.9754,0.9611,0.9611
"independent",0.005,5000,0,0.9516,0.9599,0.9472,0.9472
"independent",0.005,10000,0,0.9468,0.952,0.9431,0.9431
"independent",0.01,500,0,0.8792,0.982,0.9616,0.9616
"independent",0.01,1000,0,0.9305,0.9768,0.9643,0.9643
"independent",0.01,2000,0,0.9511,0.959,0.9469,0.9469
"independent",0.01,5000,0,0.9497,0.9543,0.9467,0.9467
"independent",0.01,10000,0,0.9466,0.9574,0.9517,0.9517
"independent",0.02,500,0,0.9279,0.9755,0.9642,0.9642
"independent",0.02,1000,0,0.952,0.9582,0.9469,0.9469
"independent",0.02,2000,0,0.9473,0.9615,0.9525,0.9525
"independent",0.02,5000,0,0.9468,0.9573,0.9521,0.9521
"independent",0.02,10000,0,0.9485,0.9549,0.9502,0.9502
"independent",0.05,500,0,0.9339,0.9608,0.9486,0.9486
"independent",0.05,1000,0,0.941,0.9558,0.9492,0.9492
"independent",0.05,2000,0,0.9509,0.9647,0.9589,0.9589
"independent",0.05,5000,0,0.9481,0.9553,0.951,0.951
"independent",0.05,10000,0,0.952,0.9525,0.9505,0.9505
"vasicek",0.001,500,0.01,0.3822,0.9803,0.9081,0.9803
"vasicek",0.001,500,0.05,0.3492,0.9702,0.9011,0.9702
"vasicek",0.001,500,0.1,0.3014,0.9568,0.8915,0.9568
"vasicek",0.001,500,0.2,0.2202,0.9465,0.8992,0.9465
"vasicek",0.001,500,0.25,0.1901,0.9452,0.9016,0.9452
"vasicek",0.001,1000,0.01,0.6104,0.975,0.9143,0.975
"vasicek",0.001,1000,0.05,0.5352,0.9517,0.891,0.9517
"vasicek",0.001,1000,0.1,0.4365,0.9345,0.8838,0.9345
"vasicek",0.001,1000,0.2,0.3139,0.9209,0.8845,0.9209
"vasicek",0.001,1000,0.25,0.2681,0.9278,0.8981,0.9278
"vasicek",0.001,2000,0.01,0.8251,0.9679,0.9261,0.9679
"vasicek",0.001,2000,0.05,0.7112,0.9313,0.8857,0.9313
"vasicek",0.001,2000,0.1,0.5865,0.9069,0.8707,0.9069
"vasicek",0.001,2000,0.2,0.4176,0.9019,0.8826,0.9019
"vasicek",0.001,2000,0.25,0.3431,0.9117,0.8911,0.9117
"vasicek",0.001,5000,0.01,0.7885,0.9412,0.9149,0.9149
"vasicek",0.001,5000,0.05,0.5619,0.8071,0.7823,0.7823
"vasicek",0.001,5000,0.1,0.4137,0.6921,0.6737,0.6737
"vasicek",0.001,5000,0.2,0.27,0.5223,0.5113,0.5113
"vasicek",0.001,5000,0.25,0.2101,0.438,0.4259,0.4259
"vasicek",0.001,10000,0.01,0.7918,0.888,0.8645,0.8645
"vasicek",0.001,10000,0.05,0.4984,0.6389,0.619,0.619
"vasicek",0.001,10000,0.1,0.3563,0.4767,0.4629,0.4629
"vasicek",0.001,10000,0.2,0.2193,0.3112,0.3036,0.3036
"vasicek",0.001,10000,0.25,0.1705,0.239,0.2306,0.2306
"vasicek",0.005,500,0.01,0.8864,0.9745,0.9398,0.9745
"vasicek",0.005,500,0.05,0.7809,0.9341,0.8981,0.9341
"vasicek",0.005,500,0.1,0.6731,0.9125,0.8766,0.9125
"vasicek",0.005,500,0.2,0.5086,0.8972,0.8719,0.8972
"vasicek",0.005,500,0.25,0.4498,0.8983,0.8774,0.8983
"vasicek",0.005,1000,0.01,0.8119,0.9503,0.9241,0.9241
"vasicek",0.005,1000,0.05,0.6189,0.8412,0.8135,0.8135
"vasicek",0.005,1000,0.1,0.4841,0.7405,0.7168,0.7168
"vasicek",0.005,1000,0.2,0.3189,0.5881,0.5715,0.5715
"vasicek",0.005,1000,0.25,0.269,0.5222,0.5082,0.5082
"vasicek",0.005,2000,0.01,0.8198,0.9059,0.8859,0.8859
"vasicek",0.005,2000,0.05,0.565,0.7041,0.6854,0.6854
"vasicek",0.005,2000,0.1,0.4137,0.5384,0.5225,0.5225
"vasicek",0.005,2000,0.2,0.2669,0.3634,0.3524,0.3524
"vasicek",0.005,2000,0.25,0.222,0.3093,0.3004,0.3004
"vasicek",0.005,5000,0.01,0.7319,0.7504,0.7309,0.7309
"vasicek",0.005,5000,0.05,0.4177,0.4373,0.4256,0.4256
"vasicek",0.005,5000,0.1,0.2908,0.3064,0.2978,0.2978
"vasicek",0.005,5000,0.2,0.1744,0.1855,0.18,0.18
