"p","n","rho","rho_default","deff","n_eff"
0.001,10000,0.01,0,1,10000
0.001,10000,0.05,0.000801362675058338,9.01282538790832,1109.52998306348
0.001,10000,0.1,0.00218560238111546,22.8538382087735,437.563262181538
0.001,10000,0.2,0.00721290285107125,73.1218156078614,136.758092189999
0.001,10000,0.25,0.00867793921542917,87.7707142150763,113.933218949269
0.005,10000,0.01,0.000656357154116132,7.5629151840072,1322.24145804866
0.005,10000,0.05,0.00217616669944694,22.7594908277699,439.37714053772
0.005,10000,0.1,0.00566658357464761,57.6601691629014,173.429945579036
0.005,10000,0.2,0.016738186301721,168.365124830908,59.3947232839531
0.005,10000,0.25,0.0223131328647152,224.109015514287,44.6211410864125
0.01,10000,0.01,0.00130916534869897,14.090344321641,709.705864649542
0.01,10000,0.05,0.00415493867532809,42.5452318146055,235.043965527696
0.01,10000,0.1,0.00901740154689176,91.1649980673707,109.691221543273
0.01,10000,0.2,0.0243079582444157,244.055274485913,40.974324447871
0.01,10000,0.25,0.0339119793120033,340.085881140721,29.4043374175307
0.02,10000,0.01,0.0013727079602002,14.7257068940418,679.084547312708
0.02,10000,0.05,0.00728091768541191,73.8018959364336,135.497874046666
0.02,10000,0.1,0.015013850270207,151.123488851799,66.1710504169646
0.02,10000,0.2,0.0364869714730913,365.83322775944,27.3348598246403
0.02,10000,0.25,0.0497138016406722,498.088302605081,20.0767613848758
0.05,10000,0.01,0.00222943518483509,23.2921224131661,429.329703090836
0.05,10000,0.05,0.0122159354563175,123.147138627718,81.2036731948003
0.05,10000,0.1,0.0258308541463101,259.282710608955,38.5679399004811
0.05,10000,0.2,0.0608075967439143,609.015159842399,16.4199525059242
0.05,10000,0.25,0.0747323719217884,748.248986845962,13.3645353028171
