"model","method","p","n","rho","lower_zero_rate"
"independent","Agresti_Coull",0.001,5000,0,0.0386
"independent","Clopper_Pearson",0.001,5000,0,0.0063
"independent","Wald",0.001,5000,0,0.2577
"independent","Wilson",0.001,5000,0,0
"independent","Agresti_Coull",0.001,10000,0,4e-04
"independent","Clopper_Pearson",0.001,10000,0,0
"independent","Wald",0.001,10000,0,0.0095
"independent","Wilson",0.001,10000,0,0
"independent","Agresti_Coull",0.001,25000,0,0
"independent","Clopper_Pearson",0.001,25000,0,0
"independent","Wald",0.001,25000,0,0
"independent","Wilson",0.001,25000,0,0
"independent","Agresti_Coull",0.001,50000,0,0
"independent","Clopper_Pearson",0.001,50000,0,0
"independent","Wald",0.001,50000,0,0
"independent","Wilson",0.001,50000,0,0
"independent","Agresti_Coull",0.001,1e+05,0,0
"independent","Clopper_Pearson",0.001,1e+05,0,0
"independent","Wald",0.001,1e+05,0,0
"independent","Wilson",0.001,1e+05,0,0
"independent","Agresti_Coull",0.005,5000,0,0
"independent","Clopper_Pearson",0.005,5000,0,0
"independent","Wald",0.005,5000,0,0
"independent","Wilson",0.005,5000,0,0
"independent","Agresti_Coull",0.005,10000,0,0
"independent","Clopper_Pearson",0.005,10000,0,0
"independent","Wald",0.005,10000,0,0
"independent","Wilson",0.005,10000,0,0
"independent","Agresti_Coull",0.005,25000,0,0
"independent","Clopper_Pearson",0.005,25000,0,0
"independent","Wald",0.005,25000,0,0
"independent","Wilson",0.005,25000,0,0
"independent","Agresti_Coull",0.005,50000,0,0
"independent","Clopper_Pearson",0.005,50000,0,0
"independent","Wald",0.005,50000,0,0
"independent","Wilson",0.005,50000,0,0
"independent","Agresti_Coull",0.005,1e+05,0,0
"independent","Clopper_Pearson",0.005,1e+05,0,0
"independent","Wald",0.005,1e+05,0,0
"independent","Wilson",0.005,1e+05,0,0
"independent","Agresti_Coull",0.01,5000,0,0
"independent","Clopper_Pearson",0.01,5000,0,0
"independent","Wald",0.01,5000,0,0
"independent","Wilson",0.01,5000,0,0
"independent","Agresti_Coull",0.01,10000,0,0
"independent","Clopper_Pearson",0.01,10000,0,0
"independent","Wald",0.01,10000,0,0
"independent","Wilson",0.01,10000,0,0
"independent","Agresti_Coull",0.01,25000,0,0
"independent","Clopper_Pearson",0.01,25000,0,0
"independent","Wald",0.01,25000,0,0
"independent","Wilson",0.01,25000,0,0
"independent","Agresti_Coull",0.01,50000,0,0
"independent","Clopper_Pearson",0.01,50000,0,0
"independent","Wald",0.01,50000,0,0
"independent","Wilson",0.01,50000,0,0
"independent","Agresti_Coull",0.01,1e+05,0,0
"independent","Clopper_Pearson",0.01,1e+05,0,0
"independent","Wald",0.01,1e+05,0,0
"independent","Wilson",0.01,1e+05,0,0
"independent","Agresti_Coull",0.02,5000,0,0
"independent","Clopper_Pearson",0.02,5000,0,0
"independent","Wald",0.02,5000,0,0
"independent","Wilson",0.02,5000,0,0
"independent","Agresti_Coull",0.02,10000,0,0
"independent","Clopper_Pearson",0.02,10000,0,0
"independent","Wald",0.02,10000,0,0
"independent","Wilson",0.02,10000,0,0
"independent","Agresti_Coull",0.02,25000,0,0
"independent","Clopper_Pearson",0.02,25000,0,0
"independent","Wald",0.02,25000,0,0
"independent","Wilson",0.02,25000,0,0
"independent","Agresti_Coull",0.02,50000,0,0
"independent","Clopper_Pearson",0.02,50000,0,0
"independent","Wald",0.02,50000,0,0
"independent","Wilson",0.02,50000,0,0
"independent","Agresti_Coull",0.02,1e+05,0,0
"independent","Clopper_Pearson",0.02,1e+05,0,0
"independent","Wald",0.02,1e+05,0,0
"independent","Wilson",0.02,1e+05,0,0
"independent","Agresti_Coull",0.05,5000,0,0
