"p","n","rho_0","rho_001","rho_005","rho_010","rho_020","rho_025"
0.001,5000,0.000447352123491371,0.000558002219572382,0.000935336770306497,0.00142688852006205,0.00244798787555492,0.00263326071588056
0.001,10000,0.000320283712613765,0.000465034780779603,0.000911522618067333,0.00139013920349744,0.00253825013158141,0.00306976100321535
0.001,25000,0.000201577511258832,0.000392326277588959,0.000866057999322112,0.00144349009278374,0.00245698909036956,0.00352666520749058
0.001,50000,0.000141858457549058,0.000370782134541471,0.000885420643974195,0.00133646874534002,0.00241577798225954,0.00298738177617988
0.001,1e+05,0.000100138185631767,0.000356480594142795,0.000852867276057686,0.00142147689978018,0.0022210887281315,0.00322659905527807
0.005,5000,0.00101303060817594,0.00174599895797109,0.00353680381866526,0.00544678974276134,0.00893772184639802,0.0112738975121699
0.005,10000,0.000701552048409569,0.0016451485037102,0.0035586630225621,0.00554333185393084,0.00896132145532804,0.0114190046875332
0.005,25000,0.00044140995110044,0.0015190848565976,0.00350404657649196,0.00508990296085879,0.00896540266590365,0.0108561458175222
0.005,50000,0.000320609640301326,0.00149466447505964,0.00350045931006749,0.00558485982307742,0.00869970718604346,0.0114625523453997
0.005,1e+05,0.000223314449522051,0.00149795641202948,0.00354097446344789,0.0055320861303373,0.00954874591565988,0.0104283610510197
0.01,5000,0.00140603895143531,0.00300137668688914,0.00653400357574686,0.00925394462721257,0.0157379927081394,0.0179060349513891
0.01,10000,0.000982383248831513,0.00292347551665986,0.0063374284256554,0.00995667215708363,0.0150368833786318,0.0179525787431292
0.01,25000,0.000629434167869181,0.00278468728286505,0.0061969070854095,0.00973741469202624,0.0155248363645869,0.0189667871405217
0.01,50000,0.000447363845031071,0.00270628124691776,0.00630092438659666,0.00956228595799447,0.0159582142987333,0.0180226414730092
0.01,1e+05,0.000312624693656641,0.00269023744648513,0.0065341570560863,0.0102481196709472,0.0143539940288317,0.0178547332309735
0.02,5000,0.0019651500393272,0.00530776257422602,0.0115164012814007,0.0171859807154819,0.0273059363003015,0.0321703357290298
0.02,10000,0.00140105213504299,0.0050618862172917,0.0115847833997076,0.0170545396925368,0.0267221691316912,0.0308415956202341
0.02,25000,0.000880063676936815,0.00493599579015096,0.0114960938805121,0.0173284179208507,0.0262135856979082,0.0290619524635108
0.02,50000,0.000625199144977893,0.00494471085530067,0.0113560588712856,0.0174521607770493,0.026629359546285,0.0308990541988414
0.02,1e+05,0.000442104469029836,0.00492892132682685,0.0114091396171297,0.0171750867276172,0.0260588903925543,0.0325536273889212
0.05,5000,0.00311254270920282,0.0108241975446334,0.023860408083723,0.0347608174330015,0.0525062761444559,0.0604049360729121
0.05,10000,0.00218757680341219,0.0106064673085234,0.0237979418858291,0.0349935165481828,0.0525567790506688,0.0590691976807292
0.05,25000,0.00138139413350398,0.0104317898091021,0.0238805667275496,0.0346025138948217,0.0520556766704551,0.05997947143733
0.05,50000,0.000968053511456936,0.0103138506204859,0.0239653803281473,0.0349537881361559,0.0516664529939032,0.0612837949292675
0.05,1e+05,0.000683355412550443,0.0105564242911668,0.0241891049476353,0.0352732731805881,0.0529168862058944,0.0598700234966523
