"method","p","n","rho","width_vasicek","width_ind","width_diff"
"Agresti_Coull",0.001,5000,0.01,0.00199964209472916,0.00203219156135689,-3.25494666277297e-05
"Clopper_Pearson",0.001,5000,0.01,0.00193123735418186,0.0019695294807799,-3.82921265980401e-05
"Wald",0.001,5000,0.01,0.00161825072062026,0.00167676287317714,-5.851215255688e-05
"Wilson",0.001,5000,0.01,0.00184733395065774,0.00188075364493205,-3.34196942743099e-05
"Agresti_Coull",0.001,5000,0.05,0.00193616403559149,0.00203219156135689,-9.60275257653998e-05
"Clopper_Pearson",0.001,5000,0.05,0.00185620139445741,0.0019695294807799,-0.00011332808632249
"Wald",0.001,5000,0.05,0.00149363843791959,0.00167676287317714,-0.00018312443525755
"Wilson",0.001,5000,0.05,0.0017843853253908,0.00188075364493205,-9.63683195412501e-05
"Agresti_Coull",0.001,5000,0.1,0.00185028231923186,0.00203219156135689,-0.00018190924212503
"Clopper_Pearson",0.001,5000,0.1,0.00175718224348035,0.0019695294807799,-0.00021234723729955
"Wald",0.001,5000,0.1,0.00134123279149808,0.00167676287317714,-0.00033553008167906
"Wilson",0.001,5000,0.1,0.001699311921291,0.00188075364493205,-0.00018144172364105
"Agresti_Coull",0.001,5000,0.2,0.00170261744410056,0.00203219156135689,-0.00032957411725633
"Clopper_Pearson",0.001,5000,0.2,0.00158880181887776,0.0019695294807799,-0.00038072766190214
"Wald",0.001,5000,0.2,0.00109592553385512,0.00167676287317714,-0.00058083733932202
"Wilson",0.001,5000,0.2,0.00155164969978258,0.00188075364493205,-0.00032910394514947
"Agresti_Coull",0.001,5000,0.25,0.00163287388733878,0.00203219156135689,-0.00039931767401811
"Clopper_Pearson",0.001,5000,0.25,0.00151083825874334,0.0019695294807799,-0.00045869122203656
"Wald",0.001,5000,0.25,0.000987095332109163,0.00167676287317714,-0.000689667541067977
"Wilson",0.001,5000,0.25,0.00148180931674016,0.00188075364493205,-0.00039894432819189
"Agresti_Coull",0.001,10000,0.01,0.0013235804686747,0.00134243074048024,-1.885027180554e-05
