"p","n","Wald","Clopper_Pearson","Wilson","Agresti_Coull"
0.001,5000,0.00167676287317714,0.0019695294807799,0.00188075364493205,0.00203219156135689
0.001,10000,0.00122496211395148,0.00134592969514527,0.00128533833765658,0.00134243074048024
0.001,25000,0.000778327807769112,0.00082342031135318,0.000793384152661764,0.000808203499630607
0.001,50000,0.000552006014947609,0.000573795725978986,0.00055731125545892,0.000562585829631027
0.001,1e+05,0.000391574960759376,0.000402204890515111,0.000393444337877383,0.000395312162725397
0.005,5000,0.00389027469464855,0.00411448959997559,0.00396314386634593,0.0040360220716454
0.005,10000,0.00275766337091093,0.00286618385599908,0.00278335260856963,0.00280931172825939
0.005,25000,0.00174853213056278,0.00179068083623075,0.00175501410816191,0.0017616043482401
0.005,50000,0.00123562632262867,0.00125638672052494,0.00123791990694603,0.00124025633755202
0.005,1e+05,0.000874137416939457,0.000884406162551805,0.000874947894104523,0.000875774345813514
0.01,5000,0.00550126211714348,0.00571726792195699,0.00555064730779754,0.00560162216464327
0.01,10000,0.00389216467012385,0.00399782401751654,0.00390961897868819,0.00392772848977559
0.01,25000,0.00246488490676366,0.00250631600170345,0.00246929492644737,0.00247388500780204
0.01,50000,0.00174381773846568,0.00176432375732247,0.00174537612222097,0.00174699985004854
0.01,1e+05,0.00123336598068558,0.00124354492977222,0.0012339168113179,0.00123449104118451
0.02,5000,0.00776340619815505,0.00797325957880538,0.00779542815536752,0.00783024581896217
0.02,10000,0.00548295358965989,0.00558645427366836,0.00549429936612312,0.00550666514975859
0.02,25000,0.00346971418598104,0.00351060139630082,0.00347258293488421,0.00347571491290848
0.02,50000,0.00245405622418195,0.00247437023021452,0.00245507023682232,0.00245617792987496
0.02,1e+05,0.00173538840406075,0.00174549952561589,0.00173574689680993,0.00173613861718981
0.05,5000,0.0120717892908024,0.0122754471347174,0.0120869480019364,0.0121066936801868
0.05,10000,0.00854063779405561,0.00864194033156682,0.00854599339731999,0.00855298053386397
0.05,25000,0.00540320548103834,0.005443537314824,0.00540455985454328,0.00540632845259306
0.05,50000,0.00382033558773252,0.00384045341684667,0.00382081456433964,0.00382144013854185
0.05,1e+05,0.00270145777231742,0.00271149954673661,0.00270162711478498,0.00270184831683561
