"model","method","p","n","rho","avg_width","median_width"
"independent","Agresti_Coull",0.001,5000,0,0.00203219156135689,0.00205944377452744
"independent","Clopper_Pearson",0.001,5000,0,0.0019695294807799,0.00200733611636777
"independent","Wald",0.001,5000,0,0.00167676287317714,0.00175216833937232
"independent","Wilson",0.001,5000,0,0.00188075364493205,0.00191173955894941
"independent","Agresti_Coull",0.001,10000,0,0.00134243074048024,0.00135208436575406
"independent","Clopper_Pearson",0.001,10000,0,0.00134592969514527,0.00135862441043954
"independent","Wald",0.001,10000,0,0.00122496211395148,0.00123897011455054
"independent","Wilson",0.001,10000,0,0.00128533833765658,0.00129665840094075
"independent","Agresti_Coull",0.001,25000,0,0.000808203499630607,0.000812981833297822
"independent","Clopper_Pearson",0.001,25000,0,0.00082342031135318,0.00082859721841772
"independent","Wald",0.001,25000,0,0.000778327807769112,0.000783593502971885
"independent","Wilson",0.001,25000,0,0.000793384152661764,0.000798394487831967
"independent","Agresti_Coull",0.001,50000,0,0.000562585829631027,0.000564572241161435
"independent","Clopper_Pearson",0.001,50000,0,0.000573795725978986,0.000575857888870404
"independent","Wald",0.001,50000,0,0.000552006014947609,0.000554084279645141
"independent","Wilson",0.001,50000,0,0.00055731125545892,0.000559342502657576
"independent","Agresti_Coull",0.001,1e+05,0,0.000395312162725397,0.000395522544402491
"independent","Clopper_Pearson",0.001,1e+05,0,0.000402204890515111,0.000402424713677472
"independent","Wald",0.001,1e+05,0,0.000391574960759376,0.000391796751485942
"independent","Wilson",0.001,1e+05,0,0.000393444337877383,0.000393660346915382
"independent","Agresti_Coull",0.005,5000,0,0.0040360220716454,0.00405365280062235
"independent","Clopper_Pearson",0.005,5000,0,0.00411448959997559,0.00413392414742532
"independent","Wald",0.005,5000,0,0.00389027469464855,0.00391011586866203
"independent","Wilson",0.005,5000,0,0.00396314386634593,0.00398182201940016
"independent","Agresti_Coull",0.005,10000,0,0.00280931172825939,0.00281612373294098
"independent","Clopper_Pearson",0.005,10000,0,0.00286618385599908,0.00287332024952443
"independent","Wald",0.005,10000,0,0.00275766337091093,0.00276486944595605
"independent","Wilson",0.005,10000,0,0.00278335260856963,0.00279035624529338
"independent","Agresti_Coull",0.005,25000,0,0.0017616043482401,0.00176170250837107
"independent","Clopper_Pearson",0.005,25000,0,0.00179068083623075,0.00179080109198609
"independent","Wald",0.005,25000,0,0.00174853213056278,0.00174865697644579
"independent","Wilson",0.005,25000,0,0.00175501410816191,0.00175512545405381
"independent","Agresti_Coull",0.005,50000,0,0.00124025633755202,0.00124110895966354
"independent","Clopper_Pearson",0.005,50000,0,0.00125638672052494,0.00125724618345407
"independent","Wald",0.005,50000,0,0.00123562632262867,0.00123648720601398
"independent","Wilson",0.005,50000,0,0.00123791990694603,0.00123877662425815
"independent","Agresti_Coull",0.005,1e+05,0,0.000875774345813514,0.000875964206866158
"independent","Clopper_Pearson",0.005,1e+05,0,0.000884406162551805,0.000884597026939694
"independent","Wald",0.005,1e+05,0,0.000874137416939457,0.000874328488222893
"independent","Wilson",0.005,1e+05,0,0.000874947894104523,0.000875138356966006
"independent","Agresti_Coull",0.01,5000,0,0.00560162216464327,0.00561539110193959
"independent","Clopper_Pearson",0.01,5000,0,0.00571726792195699,0.00573169126079122
"independent","Wald",0.01,5000,0,0.00550126211714348,0.0055158275770638
"independent","Wilson",0.01,5000,0,0.00555064730779754,0.00556480227826285
"independent","Agresti_Coull",0.01,10000,0,0.00392772848977559,0.00393567175713692
"independent","Clopper_Pearson",0.01,10000,0,0.00399782401751654,0.00400590831845052
"independent","Wald",0.01,10000,0,0.00389216467012385,0.00390027908359757
"independent","Wilson",0.01,10000,0,0.00390961897868819,0.00391764610696623
"independent","Agresti_Coull",0.01,25000,0,0.00247388500780204,0.00247573631549601
"independent","Clopper_Pearson",0.01,25000,0,0.00250631600170345,0.00250818124285546
"independent","Wald",0.01,25000,0,0.00246488490676366,0.00246675308289652
"independent","Wilson",0.01,25000,0,0.00246929492644737,0.00247115455920991
"independent","Agresti_Coull",0.01,50000,0,0.00174699985004854,0.00174571340305177
"independent","Clopper_Pearson",0.01,50000,0,0.00176432375732247,0.00176303651109424
