"p","n","rho","Wald","Clopper_Pearson","Wilson","Agresti_Coull"
0.001,5000,0.01,0.00161825072062026,0.00193123735418186,0.00184733395065774,0.00199964209472916
0.001,5000,0.05,0.00149363843791959,0.00185620139445741,0.0017843853253908,0.00193616403559149
0.001,5000,0.1,0.00134123279149808,0.00175718224348035,0.001699311921291,0.00185028231923186
0.001,5000,0.2,0.00109592553385512,0.00158880181887776,0.00155164969978258,0.00170261744410056
0.001,5000,0.25,0.000987095332109163,0.00151083825874334,0.00148180931674016,0.00163287388733878
0.001,10000,0.01,0.00119846844655564,0.00132313792446598,0.00126444812323193,0.0013235804686747
0.001,10000,0.05,0.00111780600757002,0.00126183949632603,0.00121002701529044,0.00127376159592185
0.001,10000,0.1,0.00100954640350067,0.00117911793331745,0.00113563790268461,0.00120265094118074
0.001,10000,0.2,0.000834350386811059,0.00104872557556397,0.00101862262554925,0.00108885093427612
0.001,10000,0.25,0.000742580769443405,0.000977119947792266,0.000953015652553477,0.00102430154470597
0.001,25000,0.01,0.000768495521018932,0.000813827801197262,0.000784212023050037,0.00079960627303016
0.001,25000,0.05,0.000719259685576244,0.000766955666780795,0.000739478334715832,0.000757498891490644
0.001,25000,0.1,0.00066969230980527,0.000723398016896186,0.000698842211079631,0.000719399218854692
0.001,25000,0.2,0.000547609021092132,0.000618511754167894,0.00060043280715233,0.000624573453406779
0.001,25000,0.25,0.000503789605531271,0.000582513896893588,0.000567024572629331,0.000592184307671012
0.001,50000,0.01,0.000543371491583115,0.000565244968078181,0.000548920799862801,0.000554426351986233
0.001,50000,0.05,0.000512856563626251,0.000535223010347479,0.000519652137452369,0.00052619653441712
0.001,50000,0.1,0.000473257657982529,0.00049728687043005,0.000482940400709476,0.000490879487578878
0.001,50000,0.2,0.000395307637767763,0.000425931329901089,0.000414606730800934,0.000424897009066031
0.001,50000,0.25,0.000350905453168702,0.000386396187344718,0.00037690571948028,0.000388183185785915
0.001,1e+05,0.01,0.00038549433842746,0.000396153589482572,0.000387449813453582,0.000389401349714871
0.001,1e+05,0.05,0.00036375615139083,0.00037455864320867,0.000366118233312771,0.000368450427489368
0.001,1e+05,0.1,0.000337208737179931,0.000348435866129487,0.000340476527208246,0.000343438783902528
0.001,1e+05,0.2,0.000283389075502135,0.000296990702465327,0.000290344700366047,0.000294530181973842
0.001,1e+05,0.25,0.000254433139569486,0.000269927653609828,0.000264115251419786,0.000268902997188753
0.005,5000,0.01,0.00384233113249679,0.00406746788099138,0.0039177952335235,0.00399297163468664
0.005,5000,0.05,0.00365218094273835,0.00388475351707937,0.0037429628827116,0.00382819295979767
0.005,5000,0.1,0.00345314613815052,0.00370605407811067,0.00357534382671946,0.00367125530917484
0.005,5000,0.2,0.00301431837221095,0.00332854501569241,0.00322241811786723,0.00333393393038199
0.005,5000,0.25,0.0027795451976105,0.00312988182916626,0.00303680833495188,0.00315479468229134
0.005,10000,0.01,0.00273328281492345,0.00284208681964066,0.00275979504783286,0.0027865295616027
0.005,10000,0.05,0.00260928602044252,0.00271981354530836,0.00264032633505357,0.00267097042823852
0.005,10000,0.1,0.00246370896519696,0.00257924090075744,0.00250420565312377,0.00254029466329415
0.005,10000,0.2,0.00217105953673256,0.00230834683559772,0.00224440855410036,0.00229014312082505
0.005,10000,0.25,0.00200355835589521,0.00215706033555706,0.00209981246048141,0.00214999078168655
0.005,25000,0.01,0.00172405186125467,0.00176628388701446,0.0017307775923957,0.00173760492140239
0.005,25000,0.05,0.00164634898041495,0.00168894088703986,0.00165412552228814,0.00166196449606685
0.005,25000,0.1,0.00155183730230798,0.00159520488940271,0.00156153383008359,0.00157097031385949
0.005,25000,0.2,0.00136663547276227,0.00141494624093386,0.00138486039999516,0.00139830803039586
0.005,25000,0.25,0.00127446408320355,0.00132759717824431,0.00129993468592781,0.00131542097335536
0.005,50000,0.01,0.00122215350541349,0.00124294068675785,0.00122452571216538,0.00122693944267742
0.005,50000,0.05,0.00117165980492649,0.00119257027262953,0.00117439374132029,0.00117716149710154
0.005,50000,0.1,0.00111157907415079,0.00113271805257818,0.00111495104341218,0.00111831236272137
0.005,50000,0.2,0.000979182124815916,0.00100183138802253,0.000985464279933052,0.000990565249918329
0.005,50000,0.25,0.000900137727080162,0.000924437073720135,0.000909085454172477,0.000915200460450168
0.005,1e+05,0.01,0.000863985124398541,0.000874263645327556,0.000864824327843512,0.000865679165568293
0.005,1e+05,0.05,0.000827597722199026,0.000837920559904682,0.000828567219042381,0.000829550597611121
0.005,1e+05,0.1,0.000784854021681583,0.00079524931610395,0.000786035382217047,0.000787225462691295
0.005,1e+05,0.2,0.000692655396841675,0.000703463595078624,0.000694752581838435,0.000696624107987788
0.005,1e+05,0.25,0.000631368084547793,0.00064275323417064,0.000634469756297284,0.000636822074456402
0.01,5000,0.01,0.00544742248028934,0.00566396070271175,0.00549834347453055,0.00555075633235351
0.01,5000,0.05,0.00524548813622976,0.00546473367201321,0.00530375325595044,0.00536264668055671
0.01,5000,0.1,0.00502147837521679,0.00524691760736021,0.00509252121481366,0.00515981802023873
0.01,5000,0.2,0.00443142292641402,0.00469404390448781,0.00456018279276981,0.00464695375719209
0.01,5000,0.25,0.0041087141363522,0.00439898025117987,0.00427743138052089,0.00437309713172369
0.01,10000,0.01,0.00386247878736984,0.00396831380604925,0.00388044458666989,0.00389904659624209
0.01,10000,0.05,0.00370000984029979,0.00380674856113221,0.00372057276328547,0.00374163335157705
0.01,10000,0.1,0.00353787982290634,0.00364639462602221,0.00356284581760544,0.00358757944792565
0.01,10000,0.2,0.00312165847853507,0.0032405380497405,0.00316480676449365,0.00319842459570467
0.01,10000,0.25,0.0029811137998848,0.00311088228652527,0.00304048900695832,0.00307849512421548
0.01,25000,0.01,0.0024390965932564,0.00248057671447522,0.00244364964148671,0.00244837935386905
0.01,25000,0.05,0.00233446766439925,0.00237617073112787,0.00233967116491698,0.0023450338548289
0.01,25000,0.1,0.00223302668253021,0.00227508971327542,0.00223925387929024,0.00224558645843032
0.01,25000,0.2,0.00202136513973016,0.0020653681004362,0.00203167344974731,0.00204078793058611
0.01,25000,0.25,0.00189535754201972,0.00194165752727895,0.00190952786229002,0.00192033026718701
0.01,50000,0.01,0.00172301038003758,0.00174353441199779,0.00172462131956177,0.00172629655053439
0.01,50000,0.05,0.00165900518249612,0.00167960262771142,0.00166083088437018,0.00166271688420035
0.01,50000,0.1,0.00157589976176257,0.00159662918005686,0.00157811001744801,0.00158037034004126
0.01,50000,0.2,0.0014205403727391,0.00144195670536816,0.00142429669870757,0.00142771737588131
0.01,50000,0.25,0.00132869339651965,0.00135083571511413,0.00133376065991151,0.00133787011481066
0.01,1e+05,0.01,0.00122275994144793,0.00123294441814058,0.00122332694446825,0.00122391710238842
0.01,1e+05,0.05,0.00117553992220499,0.0011857516596248,0.00117618674604568,0.00117685552424904
