"p","n","rho","Wald","Clopper_Pearson","Wilson","Agresti_Coull"
0.001,10000,0.01,0.00119846844655564,0.00132313792446598,0.00126444812323193,0.0013235804686747
0.001,10000,0.05,0.00111780600757002,0.00126183949632603,0.00121002701529044,0.00127376159592185
0.001,10000,0.1,0.00100954640350067,0.00117911793331745,0.00113563790268461,0.00120265094118074
0.001,10000,0.2,0.000834350386811059,0.00104872557556397,0.00101862262554925,0.00108885093427612
0.001,10000,0.25,0.000742580769443405,0.000977119947792266,0.000953015652553477,0.00102430154470597
0.01,10000,0.01,0.00386247878736984,0.00396831380604925,0.00388044458666989,0.00389904659624209
0.01,10000,0.05,0.00370000984029979,0.00380674856113221,0.00372057276328547,0.00374163335157705
0.01,10000,0.1,0.00353787982290634,0.00364639462602221,0.00356284581760544,0.00358757944792565
0.01,10000,0.2,0.00312165847853507,0.0032405380497405,0.00316480676449365,0.00319842459570467
0.01,10000,0.25,0.0029811137998848,0.00311088228652527,0.00304048900695832,0.00307849512421548
0.05,10000,0.01,0.00848357540358631,0.0085849372158305,0.0084890967384328,0.00849623792330047
0.05,10000,0.05,0.00826975590803514,0.00837136577961644,0.00827597475019098,0.00828376845638043
0.05,10000,0.1,0.00803064012495905,0.00813261552068534,0.0080378982822548,0.00804667527299105
0.05,10000,0.2,0.00747703269358571,0.00758031785519544,0.00748772822647947,0.00749953387352998
0.05,10000,0.25,0.00721655046417626,0.00732109869555381,0.00723002294012422,0.00724384683023008
